GT-FLWRNG PLANT,155,42,TRUE
GT-FLWRNG TREE,155,43,TRUE
GT-FOLIAGE PLNT,155,45,TRUE
GT-GROUND COVER,155,46,TRUE
GT-HOUSE PLANT,155,47,TRUE
GT-ICEPLANT,155,48,TRUE
GT-IVY,155,49,TRUE
GT-JUNIPER,155,50,TRUE
GT-PALM,155,51,TRUE
GT-PINE TREE,155,52,TRUE
GT-ROSE,155,53,TRUE
GT-SUCCULENT,155,54,TRUE
GT-TURF,155,55,TRUE
GT-VINE,155,56,TRUE
N-OUTDR TRANSPL,156,,TRUE
OT-AZALEA,156,30,TRUE
OT-BULB,156,31,TRUE
OT-CACTUS,156,32,TRUE
OT-CARNATION,156,33,TRUE
OT-CHRSTMS TREE,156,34,TRUE
OT-CHRYSANTHMUM,156,35,TRUE
OT-CONIFER,156,36,TRUE
OT-DEC. SHRUB,156,37,TRUE
OT-DEC. TREE,156,38,TRUE
OT-EVG. SHRUB,156,39,TRUE
OT-EVG. TREE,156,40,TRUE
OT-FERN,156,41,TRUE
OT-FLOWER SEED,156,44,TRUE
OT-FLWRNG PLANT,156,42,TRUE
OT-FLWRNG TREE,156,43,TRUE
OT-FOLIAGE PLNT,156,45,TRUE
OT-GROUND COVER,156,46,TRUE
OT-HOUSE PLANT,156,47,TRUE
OT-ICEPLANT,156,48,TRUE
OT-IVY,156,49,TRUE
OT-JUNIPER,156,50,TRUE
OT-PALM,156,51,TRUE
OT-PINE TREE,156,52,TRUE
OT-ROSE,156,53,TRUE
OT-SUCCULENT,156,54,TRUE
OT-TURF,156,55,TRUE
OT-VINE,156,56,TRUE
"FRUIT, BERRY",1000,,TRUE
BLACKBERRY,1002,,TRUE
BOYSENBERRY,1003,,TRUE
DEWBERRY,1004,,TRUE
LOGANBERRY,1005,,TRUE
RASPBERRY,1006,,TRUE
BLUEBERRY,1009,,TRUE
CRANBERRY,1010,,TRUE
GOOSEBERRY,1013,,TRUE
STRAWBERRY,1016,,TRUE
STRAWBERRY PROC,1016,89,TRUE
BUSHBERRY,1023,,TRUE
CITRUS,2000,,TRUE
GRAPEFRUIT,2002,,TRUE
GRAPEFRUIT PROC,2002,89,TRUE
KUMQUAT,2003,,TRUE
LEMON,2004,,TRUE
LIME,2005,,TRUE
ORANGE,2006,,TRUE
ORANGE PROCESS,2006,89,TRUE
TANGELO,2007,,TRUE
TANGERINE,2008,,TRUE
NUTS,3000,,TRUE
ALMOND,3001,,TRUE
CASHEW,3003,,TRUE
CHESTNUT,3004,,TRUE
PECAN,3008,,TRUE
WALNUT,3009,,TRUE
PISTACHIO,3011,,TRUE
POME FRUIT,4000,,TRUE
APPLE,4001,,TRUE
PEAR,4003,,TRUE
PEAR PROCESSING,4003,89,TRUE
QUINCE,4004,,TRUE
STONE FRUIT,5000,,TRUE
APRICOT,5001,,TRUE
CHERRY,5002,,TRUE
NECTARINE,5003,,TRUE
PEACH,5004,,TRUE
PEACH PROCESSNG,5004,89,TRUE
PLUM,5005,,TRUE
PRUNE,5006,,TRUE
TROP/SUB FRUIT,6000,,TRUE
BANANA,6002,,TRUE
DATE,6004,,TRUE
FIG,6005,,TRUE
MANGO,6007,,TRUE
PAPAYA,6010,,TRUE
PERSIMMON,6012,,TRUE
PINEAPPLE,6013,,TRUE
POMEGRANATE,6015,,TRUE
KIWI,6018,,TRUE
CACTUS PEAR,6028,,TRUE
CHERIMOYA,6030,,TRUE
JUJUBE,6504,,TRUE
BEVERAGE CROP,7000,,TRUE
"HERB, SPICE",8000,,TRUE
ANISE,8004,,TRUE
ANISE SEED,8004,4,TRUE
SWEET BASIL,8006,,TRUE
DILL,8015,,TRUE
GINGER,8019,,TRUE
HOPS,8020,,TRUE
SAGE,8035,,TRUE
TARRAGON,8041,,TRUE
PEPPER SPICE,8050,,TRUE
PEPPER SPICE SD,8050,4,TRUE
CANTALOUPE,10002,,TRUE
WATERMELON,10008,,TRUE
CUCUMBER,10010,,TRUE
PUMPKIN,10011,,TRUE
SQUASH,10012,,TRUE
"SQUASH, SUMMER",10013,,TRUE
"SQUASH, WINTER",10014,,TRUE
ZUCCHINI,10015,,TRUE
CHAYOTE,10030,,TRUE
VEGETABLE FRTG,11000,,TRUE
EGGPLANT,11001,,TRUE
PEPPER FRUIT SD,11003,4,TRUE
PEPPER FRUITNG,11003,,TRUE
PIMENTO,11004,,TRUE
PIMENTO SEED,11004,4,TRUE
TOMATO SEED,11005,4,TRUE
TOMATO,11005,,TRUE
TOMATILLO,11008,,TRUE
VEGETABLE LEAF,13000,,TRUE
BROCCOLI,13005,,TRUE
BROCCOLI PROC,13005,89,TRUE
BROCCOLI SEED,13005,4,TRUE
BRUSSEL SP SEED,13006,4,TRUE
BRUSSEL SPROUT,13006,,TRUE
CABBAGE,13007,,TRUE
CABBAGE SEED,13007,4,TRUE
CAULIFLOWER,13008,,TRUE
CAULIFLOWR PROC,13008,89,TRUE
CAULIFLOWR SEED,13008,4,TRUE
COLLARD,13009,,TRUE
COLLARD SEED,13009,4,TRUE
NAPA CBG TGHT H,13010,,TRUE
KALE,13011,,TRUE
KALE SEED,13011,4,TRUE
KOHLRABI,13012,,TRUE
KOHLRABI SEED,13012,4,TRUE
DANDELION GREEN,13014,,TRUE
ENDIVE (ESCAROLE),13015,,TRUE
ENDIVE SEED,13015,4,TRUE
ARTICHOKE,13018,,TRUE
ARTICHOKE SEED,13018,4,TRUE
PARSLEY,13022,,TRUE
PARSLEY SEED,13022,4,TRUE
RHUBARB,13023,,TRUE
SPINACH,13024,,TRUE
SPINACH SEED,13024,4,TRUE
SWISS CHARD,13025,,TRUE
WATERCRESS,13027,,TRUE
LETTUCE LEAF,13031,,TRUE
LETTUCE LEAF SD,13031,4,TRUE
LETTUCE ROMAINE,13031,10,TRUE
CARDOON,13032,,TRUE
VEGETABLE STEM,13043,,TRUE
LETTUCE HEAD,13045,,TRUE
LETTUCE HEAD SD,13045,4,TRUE
SHINGIKU,13046,,TRUE
CACTUS LEAF,13048,,TRUE
BAMBOO SHOOT,13051,,TRUE
RAPINI,13052,,TRUE
CHERVIL,13055,,TRUE
ARUGULA,13056,,TRUE
CILANTRO,13501,,TRUE
BOK CHOY LSE LF,13502,,TRUE
MIZUNA,13504,,TRUE
SAVOY CABBAGE,13505,,TRUE
GAI CHOY LSE LF,13509,,TRUE
GAI LON TGHT HD,13903,,TRUE
CHINESE GR SEED,13999,4,TRUE
CHINESE GREEN,13999,,TRUE
CELERIAC,14004,,TRUE
CHIVE,14005,,TRUE
CHIVE SEED,14005,4,TRUE
GARLIC,14007,,TRUE
LEEK,14010,,TRUE
ONION SEED,14011,4,TRUE
ONION DRY ETC,14011,,TRUE
PARSNIP,14012,,TRUE
PARSNIP SEED,14012,4,TRUE
POTATO,14013,,TRUE
POTATO SEED,14013,4,TRUE
